Date,Handle,GGR,Brand
2023-01-22,10363776,917544.2700000004,Fanatics
2023-01-22,10933935,1141395.3699999973,Rush Street Interactive
2023-01-29,43001354,3972230.815000552,Caesars Sport Book
2023-01-29,108680269,6682020.750136004,DraftKings Sport Book
2023-01-29,2249093,2957.409999999305,ESPN Bet
2023-01-29,146790117,13485651.500000002,FanDuel
2023-01-29,6889375,227958.68000000005,Fanatics
2023-01-29,1143538,115455.39,Resorts World Bet
2023-01-29,11670881,345593.14000000467,Rush Street Interactive
2023-02-05,40430549,4618739.012500155,Caesars Sport Book
2023-02-05,108654046,11906126.200000001,DraftKings Sport Book
2023-02-05,2353207,168128.84999999954,ESPN Bet
2023-02-05,135952024,20199470.479999997,FanDuel
2023-02-05,7357251,979284.3700000001,Fanatics
2023-02-05,1930222,146165.9500000001,Resorts World Bet
2023-02-05,9152395,1226223.4600000002,Rush Street Interactive
2023-02-12,150393366,2907775.799999999,DraftKings Sport Book
2023-02-12,2689831,140027.57000000073,ESPN Bet
2023-02-12,165395489,9206199.219999995,FanDuel
2023-02-12,7951616,246945.0800000002,Fanatics
2023-02-12,1379022,61968.11000000003,Resorts World Bet
2023-02-19,44587152,1400239.1649997318,Caesars Sport Book
2023-02-19,110789177,7408351.679980006,DraftKings Sport Book
2023-02-19,2785154,127830.2800000005,ESPN Bet
2023-02-19,137035272,11318765.9,FanDuel
2023-02-19,7264693,98565.25000000023,Fanatics
2023-02-19,1002542,105662.11999999998,Resorts World Bet
2023-02-19,9558874,582200.0499999969,Rush Street Interactive
2023-02-26,46008271,2980326.239999966,Caesars Sport Book
2023-02-26,115036867,9820645.330010995,DraftKings Sport Book
2023-02-26,2397833,145383.2699999997,ESPN Bet
2023-02-26,146476691,11738180.71,FanDuel
2023-02-26,7313253,574446.93,Fanatics
2023-02-26,1153565,109840.07,Resorts World Bet
2023-02-26,9275587,635659.8199999954,Rush Street Interactive
2023-03-05,55786532,2984042.0549999587,Caesars Sport Book
2023-03-05,137411093,10362130.150003998,DraftKings Sport Book
2023-03-05,2392716,88286.77999999968,ESPN Bet
2023-03-05,169289508,8817211.569999997,FanDuel
2023-03-05,6774760,405363.28000000026,Fanatics
2023-03-05,999560,77925.48,Resorts World Bet
2023-03-05,10587341,719695.4599999946,Rush Street Interactive
2023-03-12,58964547,3890522.0,Caesars Sport Book
2023-03-12,147797074,11707425.0,DraftKings Sport Book
2023-03-12,2694672,274765.0,ESPN Bet
2023-03-12,185049831,20864775.0,FanDuel
2023-03-12,7136403,236705.0,Fanatics
2023-03-12,1370197,13740.0,Resorts World Bet
2023-03-12,11830920,691898.0,Rush Street Interactive
2023-03-19,63096350,2848089.0,Caesars Sport Book
2023-03-19,154079898,12522085.0,DraftKings Sport Book
2023-03-19,3058486,54867.0,ESPN Bet
2023-03-19,188336202,19502132.0,FanDuel
2023-03-19,7789908,467004.0,Fanatics
2023-03-19,1550107,99465.0,Resorts World Bet
2023-03-19,11568309,1169148.0,Rush Street Interactive
2023-03-26,46138033,3771021.769699989,Caesars Sport Book
2023-03-26,116267096,12199920.559888,DraftKings Sport Book
2023-03-26,1923099,49619.899999999616,ESPN Bet
2023-03-26,155675749,24452580.900000002,FanDuel
2023-03-26,5334340,543429.32,Fanatics
2023-03-26,781640,108516.73999999999,Resorts World Bet
2023-03-26,11340421,744965.0100000054,Rush Street Interactive
2023-04-02,40118415,3908770.934900136,Caesars Sport Book
2023-04-02,105947507,9339014.070003,DraftKings Sport Book
2023-04-02,1587357,143183.99999999994,ESPN Bet
2023-04-02,130717989,14705432.190000003,FanDuel
2023-04-02,6093964,254570.62000000046,Fanatics
2023-04-02,1056124,91566.14000000003,Resorts World Bet
2023-04-02,11079331,662211.2699999983,Rush Street Interactive
2023-04-09,106382424,2910417.9200089946,DraftKings Sport Book
2023-04-09,142555047,6888869.840000002,FanDuel
2023-04-09,5085662,418767.57000000007,Fanatics
2023-04-16,40885996,3623335.830500318,Caesars Sport Book
2023-04-16,101986660,14234079.280011997,DraftKings Sport Book
2023-04-16,2111624,60753.38,ESPN Bet
2023-04-16,136293263,22130965.78,FanDuel
2023-04-16,3906318,500995.80000000016,Fanatics
2023-04-16,12612144,37777.89000001,Rush Street Interactive
2023-04-23,47138315,4923896.69720022,Caesars Sport Book
2023-04-23,129272340,15871384.059999,DraftKings Sport Book
2023-04-23,2540496,283952.97,ESPN Bet
2023-04-23,150385975,20737048.04,FanDuel
2023-04-23,4530298,324317.7399999999,Fanatics
2023-04-23,3478769,125172.32,Resorts World Bet
2023-04-23,10200636,865191.8300000038,Rush Street Interactive
2023-04-30,41769265,3722143.980000067,Caesars Sport Book
2023-04-30,137194301,12198885.990000002,DraftKings Sport Book
2023-04-30,2606843,172082.69999999925,ESPN Bet
2023-04-30,150773362,18048461.83,FanDuel
2023-04-30,4546125,414262.7799999999,Fanatics
2023-04-30,1166786,90121.15999999996,Resorts World Bet
2023-04-30,9925698,850272.2599999978,Rush Street Interactive
2023-05-07,39665810,4028118.7900004373,Caesars Sport Book
2023-05-07,122462276,16529177.640000006,DraftKings Sport Book
2023-05-07,2150371,197131.67000000013,ESPN Bet
2023-05-07,137726028,22291941.770000007,FanDuel
2023-05-07,4066991,398713.90000000014,Fanatics
2023-05-07,1349457,164638.47999999998,Resorts World Bet
2023-05-07,8863432,1024609.2900000052,Rush Street Interactive
2023-05-14,39228258,3114717.022700353,Caesars Sport Book
2023-05-14,116457141,10104052.239990996,DraftKings Sport Book
2023-05-14,1819981,144324.23000000013,ESPN Bet
2023-05-14,127689363,21443765.430000007,FanDuel
2023-05-14,1011184,76033.56000000001,Resorts World Bet
2023-05-14,8187202,604416.8799999995,Rush Street Interactive
2023-05-21,37438212,2370463.755,Caesars Sport Book
2023-05-21,108288540,7072715.490009006,DraftKings Sport Book
2023-05-21,1675038,85225.28999999996,ESPN Bet
2023-05-21,123958470,7377822.18,FanDuel
2023-05-21,4954054,301746.55,Fanatics
2023-05-21,932478,38912.56000000001,Resorts World Bet
2023-05-21,8174441,693188.9700000021,Rush Street Interactive
2023-05-28,31839176,3634774.9825001196,Caesars Sport Book
2023-05-28,83825919,8978880.619986996,DraftKings Sport Book
2023-05-28,1500815,65296.22999999985,ESPN Bet
2023-05-28,114257184,19761502.79,FanDuel
2023-05-28,4211415,471473.3,Fanatics
2023-05-28,681899,103787.68999999997,Resorts World Bet
2023-05-28,7258563,458670.97,Rush Street Interactive
2023-06-04,34648109,2273808.9500000784,Caesars Sport Book
2023-06-04,105035625,8342360.440011002,DraftKings Sport Book
2023-06-04,121058159,12103408.509999994,FanDuel
2023-06-04,4216257,244747.60999999987,Fanatics
2023-06-04,792946,45759.92999999998,Resorts World Bet
2023-06-04,8958249,735569.9800000001,Rush Street Interactive
2023-06-11,32060228,2377535.4500000873,Caesars Sport Book
2023-06-11,131126204,9140410.869991006,DraftKings Sport Book
2023-06-11,1471038,105888.60999999977,ESPN Bet
2023-06-11,104812559,12275120.629999999,FanDuel
2023-06-11,4261337,238842.69999999984,Fanatics
2023-06-11,861588,93105.60999999996,Resorts World Bet
2023-06-11,7368109,295484.77999999747,Rush Street Interactive
2023-06-18,28258544,693982.9774999716,Caesars Sport Book
2023-06-18,117335508,12350824.420015,DraftKings Sport Book
2023-06-18,1686526,68011.37999999986,ESPN Bet
2023-06-18,102230517,11788054.740000002,FanDuel
2023-06-18,3328152,297669.07999999996,Fanatics
2023-06-18,935221,93750.66999999997,Resorts World Bet
2023-06-18,6689153,557757.549999999,Rush Street Interactive
2023-06-25,26211658,2059859.6824000073,Caesars Sport Book
2023-06-25,124483515,4114990.759999994,DraftKings Sport Book
2023-06-25,1803033,119275.31000000017,ESPN Bet
2023-06-25,86807273,8180147.090000004,FanDuel
2023-06-25,3478830,143405.89,Fanatics
2023-06-25,7433030,406554.9299999997,Rush Street Interactive
2023-07-02,26694722,2580705.1412998512,Caesars Sport Book
2023-07-02,73832881,8482581.699999997,DraftKings Sport Book
2023-07-02,1605288,229726.18999999997,ESPN Bet
2023-07-02,88096632,11829532.43,FanDuel
2023-07-02,3027103,320868.87,Fanatics
2023-07-02,1082433,9542.400000000023,Resorts World Bet
2023-07-02,7544535,547982.4600000001,Rush Street Interactive
2023-07-09,28672081,2108049.1933999546,Caesars Sport Book
2023-07-09,81832097,7822683.420010997,DraftKings Sport Book
2023-07-09,1789438,112368.97000000003,ESPN Bet
2023-07-09,94677863,10700409.499999998,FanDuel
2023-07-09,3298392,225622.03999999986,Fanatics
2023-07-09,913211,75048.57000000004,Resorts World Bet
2023-07-09,8907716,604689.1200000009,Rush Street Interactive
2023-07-16,18758930,1577387.5564000616,Caesars Sport Book
2023-07-16,56988162,5785426.990011001,DraftKings Sport Book
2023-07-16,1145108,73161.03999999967,ESPN Bet
2023-07-16,63993245,7631999.240000001,FanDuel
2023-07-16,2447762,267583.3400000001,Fanatics
2023-07-16,1011982,38842.10000000002,Resorts World Bet
2023-07-16,6610759,687991.3499999987,Rush Street Interactive
2023-07-23,25374677,3018261.633700108,Caesars Sport Book
2023-07-23,71877705,7413455.239999999,DraftKings Sport Book
2023-07-23,1429419,126657.2299999999,ESPN Bet
2023-07-23,92606694,11652207.74,FanDuel
2023-07-23,3440780,332643.1299999999,Fanatics
2023-07-23,1100329,164104.53000000003,Resorts World Bet
2023-07-23,8474420,774868.559999997,Rush Street Interactive
2023-07-30,26469020,2548415.1507999017,Caesars Sport Book
2023-07-30,94513120,13386355.639974993,DraftKings Sport Book
2023-07-30,1663139,137295.97999999975,ESPN Bet
2023-07-30,95211825,4895156.679999998,FanDuel
2023-07-30,3796714,330398.72,Fanatics
2023-07-30,814397,178686.81999999998,Resorts World Bet
2023-07-30,7909919,877430.2899999984,Rush Street Interactive
2023-08-06,28704798,2988916.8699998376,Caesars Sport Book
2023-08-06,161404050,25241171.159994993,DraftKings Sport Book
2023-08-06,1903462,169406.87999999992,ESPN Bet
2023-08-06,99252423,12233869.290000003,FanDuel
2023-08-06,3524375,401755.54999999993,Fanatics
2023-08-06,751086,112984.40000000002,Resorts World Bet
2023-08-06,7931548,492380.59999999334,Rush Street Interactive
2023-08-13,26456740,2006176.1125000897,Caesars Sport Book
2023-08-13,75899226,6842240.719999997,DraftKings Sport Book
2023-08-13,1967540,59377.45999999996,ESPN Bet
2023-08-13,87431662,10484781.639999999,FanDuel
2023-08-13,3582225,120837.42000000016,Fanatics
2023-08-13,874015,75561.65000000001,Resorts World Bet
2023-08-13,8388101,518068.7399999972,Rush Street Interactive
2023-08-20,25936788,2296975.858099953,Caesars Sport Book
2023-08-20,89309325,7284082.799976999,DraftKings Sport Book
2023-08-20,1943771,237607.7499999996,ESPN Bet
2023-08-20,87679654,8908151.169999998,FanDuel
2023-08-20,3286293,271700.4600000002,Fanatics
2023-08-20,947287,12590.129999999932,Resorts World Bet
2023-08-20,8541999,917718.7399999939,Rush Street Interactive
2023-08-27,24814211,1642221.8800000013,Caesars Sport Book
2023-08-27,75101837,7437828.7100100005,DraftKings Sport Book
2023-08-27,1867684,266415.56999999983,ESPN Bet
2023-08-27,83732551,9868052.93,FanDuel
2023-08-27,3949593,35830.330000000016,Fanatics
2023-08-27,741527,88427.25000000001,Resorts World Bet
2023-08-27,7232269,794849.0299999953,Rush Street Interactive
2023-09-03,36253698,1538928.4104021988,Caesars Sport Book
2023-09-03,122242389,7289350.819999998,FanDuel
2023-09-03,5674554,237634.27999999968,Fanatics
2023-09-03,1529005,110110.29999999999,Resorts World Bet
2023-09-03,10076990,915055.4300000002,Rush Street Interactive
2023-09-10,40920453,4361005.373000002,Caesars Sport Book
2023-09-10,138850833,16446089.530006003,DraftKings Sport Book
2023-09-10,195516142,32331054.060000017,FanDuel
2023-09-10,5281529,495387.1699999995,Fanatics
2023-09-10,1287279,20100.769999999946,Resorts World Bet
2023-09-10,9614203,934545.9600000039,Rush Street Interactive
2023-09-17,38859834,1864731.4262999971,Caesars Sport Book
2023-09-17,179671331,12907889.629999,DraftKings Sport Book
2023-09-17,2511241,203651.6700000002,ESPN Bet
2023-09-17,138978859,10932231.45000001,FanDuel
2023-09-17,5261249,101742.31000000017,Fanatics
2023-09-17,1315931,91426.66,Resorts World Bet
2023-09-17,10198124,1030666.8700000133,Rush Street Interactive
2023-09-24,43390939,3120817.102896617,Caesars Sport Book
2023-09-24,176013274,13926794.480005005,DraftKings Sport Book
2023-09-24,2515016,171646.82999999996,ESPN Bet
2023-09-24,160145889,14787844.950000005,FanDuel
